TimePeriod,GeoType,GeoID,GeoRank,Geography,Age-adjusted percent,Number,Percent
2020,UHF34,101,3,Kingsbridge - Riverdale,"2.5* (1.0, 6.0)","2,000*","2.7* (1.1, 6.6)"
2020,UHF34,102,3,Northeast Bronx,**,**,**
2020,UHF34,103,3,Fordham - Bronx Pk,"4.7* (2.3, 9.4)","8,000*","4.4* (2.1, 9.0)"
2020,UHF34,104,3,Pelham - Throgs Neck,"5.7* (2.6, 12.2)","13,000*","5.6* (2.5, 12.3)"
2020,UHF34,201,3,Greenpoint,"1.2* (0.4, 3.8)","1,000*","1.3* (0.5, 3.7)"
2020,UHF34,202,3,Downtown - Heights - Slope,"2.4* (1.1, 4.9)","4,000*","2.5* (1.2, 5.4)"
2020,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"6.6* (3.6, 11.7)","15,000","6.1 (3.4, 10.5)"
2020,UHF34,204,3,East New York,"3.8* (1.4, 9.9)",**,**
2020,UHF34,205,3,Sunset Park,**,**,**
2020,UHF34,206,3,Borough Park,"3.4* (1.7, 6.8)","8,000*","3.3* (1.7, 6.6)"
2020,UHF34,207,3,East Flatbush - Flatbush,"2.4* (1.1, 5.1)","5,000*","2.3* (1.0, 4.9)"
2020,UHF34,208,3,Canarsie - Flatlands,"8.0* (3.0, 19.6)","11,000*","7.3* (2.9, 16.8)"
2020,UHF34,209,3,Bensonhurst - Bay Ridge,"2.4* (0.9, 6.0)","3,000*","2.1* (0.8, 5.4)"
2020,UHF34,210,3,Coney Island - Sheepshead Bay,"3.6* (1.6, 8.1)","8,000*","3.6* (1.7, 7.5)"
2020,UHF34,211,3,Williamsburg - Bushwick,"5.5* (2.4, 11.8)","9,000*","5.6* (2.4, 12.8)"
2020,UHF34,301,3,Washington Heights,"6.1* (2.6, 13.7)","12,000*","6.1* (2.5, 14.3)"
2020,UHF34,302,3,Central Harlem - Morningside Heights,"7.8* (3.9, 15.0)","9,000*","7.4* (3.7, 14.4)"
2020,UHF34,303,3,East Harlem,"12.6 (7.2, 21.1)","10,000*","12.0* (6.3, 21.6)"
2020,UHF34,304,3,Upper West Side,"3.1* (1.3, 7.3)","6,000*","3.3* (1.3, 7.7)"
2020,UHF34,401,3,Long Island City - Astoria,"3.5* (1.3, 8.7)",**,**
2020,UHF34,402,3,West Queens,"0.9* (0.4, 2.0)","4,000*","1.0* (0.4, 2.2)"
2020,UHF34,403,3,Flushing - Clearview,**,**,**
2020,UHF34,405,3,Ridgewood - Forest Hills,**,**,**
2020,UHF34,407,3,Southwest Queens,**,**,**
2020,UHF34,408,3,Jamaica,"1.5* (0.6, 3.6)","3,000*","1.4* (0.6, 3.5)"
2020,UHF34,409,3,Southeast Queens,"0.0* (NaN, NaN)",0*,"0.0* (NaN, NaN)"
2020,UHF34,410,3,Rockaways,**,**,**
2020,UHF34,305307,3,Upper East Side-Gramercy,"2.3* (1.0, 5.2)","7,000*","2.3* (1.0, 5.1)"
2020,UHF34,306308,3,Chelsea-Village  ,"2.0* (0.8, 5.0)","4,000*","1.9* (0.7, 4.7)"
2020,UHF34,309310,3,Union Square-Lower Manhattan,"3.9* (2.1, 7.0)","8,000*","3.7* (2.0, 6.8)"
2020,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"3.6* (1.6, 7.9)","5,000*","3.6* (1.6, 8.1)"
2020,UHF34,501502,3,Northern SI,**,**,**
2020,UHF34,503504,3,Southern SI,"5.2* (2.7, 9.6)","11,000*","5.2* (2.8, 9.7)"
2020,UHF34,105106107,3,South Bronx,"6.0 (3.6, 9.8)","20,000","5.2 (3.1, 8.5)"
2020,Borough,1,1,Bronx,"5.2 (3.6, 7.3)","51,000","5.0 (3.5, 7.0)"
2020,Borough,2,1,Brooklyn,"3.7 (2.9, 4.9)","73,000","3.8 (2.9, 4.9)"
2020,Borough,3,1,Manhattan,"4.2 (3.1, 5.7)","56,000","4.2 (3.1, 5.7)"
2020,Borough,4,1,Queens,"2.6 (1.7, 4.0)","46,000","2.6 (1.7, 3.9)"
2020,Borough,5,1,Staten Island,"4.2 (2.4, 7.1)","16,000","4.3 (2.5, 7.3)"
2020,Citywide,1,0,New York City,"3.8 (3.2, 4.4)","242,000","3.8 (3.2, 4.4)"
2019,UHF34,101,3,Kingsbridge - Riverdale,**,**,**
2019,UHF34,102,3,Northeast Bronx,"7.1* (2.9, 16.7)","11,000*","7.6* (3.0, 17.8)"
2019,UHF34,103,3,Fordham - Bronx Pk,**,**,**
2019,UHF34,104,3,Pelham - Throgs Neck,"8.0 (4.7, 13.1)","19,000","8.1 (4.7, 13.4)"
2019,UHF34,201,3,Greenpoint,"3.9* (1.8, 8.3)","5,000*","4.6* (2.1, 9.8)"
2019,UHF34,202,3,Downtown - Heights - Slope,"6.2* (2.9, 12.8)","9,000*","5.3* (2.5, 11.0)"
2019,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"6.5* (3.3, 12.2)","16,000*","6.5* (3.2, 12.5)"
2019,UHF34,204,3,East New York,"8.4* (3.4, 19.4)","11,000*","7.8* (3.1, 18.4)"
